  ,  ,  ,tw,  ,  ,tl,  ,tl,  ,  ,tw,  ,  ,  
  ,  ,dl,  ,  ,dw,  ,  ,  ,dw,  ,  ,dl,  ,  
  ,dl,  ,  ,dl,  ,  ,  ,  ,  ,dl,  ,  ,dl,  
tw,  ,  ,tl,  ,  ,  ,dw,  ,  ,  ,tl,  ,  ,tw
  ,  ,dl,  ,  ,  ,dl,  ,dl,  ,  ,  ,dl,  ,  
  ,dw,  ,  ,  ,tl,  ,  ,  ,tl,  ,  ,  ,dw,  
tl,  ,  ,  ,dl,  ,  ,  ,  ,  ,dl,  ,  ,  ,tl
  ,  ,  ,dw,  ,  ,  ,  ,  ,  ,  ,dw,  ,  ,  
tl,  ,  ,  ,dl,  ,  ,  ,  ,  ,dl,  ,  ,  ,tl
  ,dw,  ,  ,  ,tl,  ,  ,  ,tl,  ,  ,  ,dw,  
  ,  ,dl,  ,  ,  ,dl,  ,dl,  ,  ,  ,dl,  ,  
tw,  ,  ,tl,  ,  ,  ,dw,  ,  ,  ,tl,  ,  ,tw
  ,dl,  ,  ,dl,  ,  ,  ,  ,  ,dl,  ,  ,dl,  
  ,  ,dl,  ,  ,dw,  ,  ,  ,dw,  ,  ,dl,  ,  
  ,  ,  ,tw,  ,  ,tl,  ,tl,  ,  ,tw,  ,  ,  
